,cpu_clock,isa,l1_size,l2_size,l3_size,num-cpus,mem_type,mem_clock,mem_size
0,2.207613554107651,X86_64,32,1024,49152,36,PC4-2933V,2666,192
1,2.241574363357968,X86_64,32,1024,26624,16,PC4-3200AA,3200,1536
2,2.2640575822548747,X86_64,32,1024,77824,96,PC4-3200AA,2666,384
3,3.110909589845752,X86_64,32,1024,16384,40,PC4-2666V,2933,768
4,1.328085761728415,X86_64,32,1024,98304,64,PC4-3200AA,3200,512
5,3.141389361668825,X86_64,32,1024,36864,384,PC4-2933V,2933,64
6,2.3369843828119894,X86_64,32,256,8192,4,PC4-2666V,2933,176
7,1.8448818174019213,X86_64,32,512,38912,64,PC4-3200AA,3200,512
8,1.9546864331983962,X86_64,32,1024,45056,16,PC4-2933V,0,2048
9,2.0930974146034864,X86_64,32,1024,98304,112,PC4-2666V,2666,384
10,1.9725778198329373,X86_64,32,512,71680,64,PC4-3200AA,3200,512
11,2.0561607894696263,X86_64,32,512,27648,12,PC4-3200AA,3200,2048
12,2.7460279052858523,X86_64,32,256,116736,48,PC4-2666V,2666,384
13,2.715172558216212,X86_64,32,1024,155648,6,PC4-2666V,2666,64
14,2.3613397681020967,X86_64,32,256,77824,20,PC4-3200AA,2933,768
15,2.1953557944969395,X86_64,32,1024,26624,32,PC4-2933Y,2933,64
16,2.044755983886959,X86_64,64,512,98304,128,PC4-3200AA,3200,1024
17,2.8549400169960863,X86_64,32,1024,12288,24,PC4-2666V,2666,768
18,2.865326759780281,X86_64,32,1024,98304,36,PC4-2933Y,2933,384
19,2.55165364097299,X86_64,64,512,24576,64,PC4-3200AA,3200,1024
20,3.8686027084653682,X86_64,32,256,77824,32,PC4-2666V,2666,384
21,1.5504940708998776,X86_64,32,256,8192,64,PC4-3200AA,3200,256
22,2.038851323635684,X86_64,32,512,86016,64,PC4-3200AA,3200,2048
23,1.4161880193273748,X86_64,32,1024,65536,76,PC4-2933V,2933,1536
24,2.2859372474743758,X86_64,32,512,77824,48,PC4-2666V,2666,64
25,2.19050150422246,X86_64,32,256,77824,52,PC4-2666V,2666,384
26,2.4484885510903056,X86_64,32,1024,77824,56,PC4-2666V,2933,384
27,1.5161810299453156,X86_64,32,512,98304,24,PC4-3200AA,3200,512
28,2.0201784058930254,X86_64,32,512,73728,128,PC4-3200AA,2933,256
29,1.7797054034890587,X86_64,32,1024,73728,64,PC4-3200AA,3200,384
30,2.1769650617533935,X86_64,32,512,262144,56,PC4-3200AA,3200,192
31,2.1422452240658845,X86_64,32,1024,77824,6,PC4-2933V,2933,768
32,3.679949332455412,X86_64,32,256,98304,44,PC4-3200AA,2666,384
33,3.186886310977129,X86_64,32,1024,71680,20,PC4-2666V,2933,384
34,2.355801990129473,X86_64,32,512,71680,24,PC4-3200AA,3200,1024
35,2.6823700973102365,X86_64,32,1024,79872,52,PC4-2933V,3200,256
36,1.8923695324989458,X86_64,32,1024,79872,24,0,0,768
37,2.516557864364146,X86_64,32,1024,71680,76,PC4-2666V,2666,2048
38,1.975110428425907,X86_64,32,1024,49152,24,PC4-2933Y,2666,384
39,1.9274246735376372,X86_64,32,1024,55296,72,PC4-2933Y,2933,384
40,3.264726873411381,X86_64,32,256,12288,24,PC4-2666V,2666,64
41,3.1758833491587612,X86_64,32,1024,77824,20,PC4-2933Y,2933,192
42,2.809812320260054,X86_64,32,1024,49152,56,PC4-2666V,2666,64
