,isa,l1_size,l2_size,num-cpus,mem_type,mem_clock,mem_size,cpu_clock,l3_size
0,-0.00030577183,-0.038895488,0.54038215,0.112731695,0.5215516,0.1578232,-0.11026096,0.055117846,-0.9983194
1,-0.0004131794,-0.038895488,0.5404451,0.11202502,0.528353,0.14925587,-0.12231445,0.054578662,-1.0087388
2,-0.0033562183,-0.038895488,0.5403578,0.11139727,0.5197736,0.1580832,-0.105406046,0.05416751,-1.0014007
3,0.0094794035,-0.038895488,0.5406463,0.9582498,1.1343539,1.1659923,0.25777638,0.04649186,0.29461205
4,-0.0022126436,-0.038895488,0.54039264,0.55692565,-0.15307415,0.15810895,0.5725583,0.21720517,0.3417976
5,-0.001836896,-0.038895488,0.54039073,-0.21915305,-0.8533703,-0.8455328,-0.115305066,-0.70073473,-1.0015798
6,0.0007869005,-0.038895488,0.5403999,-0.05296004,-0.8563509,-0.84792984,-0.11261332,0.046366096,-1.0093882
7,-0.003776908,-0.038895488,0.54030037,-0.07286847,-0.8105055,-0.7715906,-1.1184418,-1.3588729,-0.98449063
8,-0.0017267466,-0.038895488,0.5404155,-0.4066292,-0.14711356,0.16238046,-0.12125206,-0.18616247,-1.0146637
9,3.2424927e-05,-0.038895488,0.54036546,-0.051520586,-0.8497155,-0.8486171,-0.10452366,0.056602478,-1.0008485
10,-0.0018224716,-0.038895488,0.54042494,-0.06949806,-0.84690106,-0.8462659,-0.11982751,-0.10283959,-0.9953886
11,-0.0013976097,-0.038895488,0.5403595,0.073629856,0.47587132,0.1511594,-0.12356281,0.034022927,-1.0028038
12,-0.0018683672,-0.038895488,0.5404229,-0.2269193,-0.87841463,-0.86784935,-0.097557425,-0.73522496,-1.0119798
13,-0.0008229017,-0.038895488,0.5404581,-0.26264536,0.038450003,0.16716897,-0.12137067,-0.12415135,-0.99998236
14,-0.0033402443,-0.038895488,0.54033184,-0.056649208,-0.8365847,-0.814657,-1.1604874,-1.4006956,-0.9902823
15,-0.0043531656,-0.038895488,0.5404384,0.509168,0.4712391,0.5567645,0.53481936,-0.6720377,0.35773957
16,-0.00086188316,-0.038895488,0.54040825,-0.40958905,-0.14602482,0.1578263,-0.12529182,-0.17607808,-1.0097241
17,0.00086295605,-0.038895488,0.54063845,0.7272593,0.60767746,0.26260245,-0.07438338,0.23744953,0.32366276
18,-0.0015673637,-0.038895488,0.5403856,0.050447583,0.44200575,0.15323162,-0.12027526,0.026080132,-1.000665
19,-0.0018006563,-0.038895488,0.54036367,-0.05690205,-0.8631407,-0.8410541,-0.10024369,0.06750965,-1.0007613
20,-0.0011519194,-0.038895488,0.54037416,-0.4042735,-0.14628685,0.14860225,-0.117661476,-0.17755425,-0.9985001
21,-0.0015531778,-0.038895488,0.5404476,-0.23796141,-0.8824762,-0.8966316,-0.08973646,-0.72992444,-1.0219114
22,0.0058351755,-0.038895488,0.5406976,-0.048382163,1.1305559,1.1607842,0.23604965,0.61105585,-1.0230334
23,-0.0024067163,-0.038895488,0.5403403,-0.059240222,-0.8390573,-0.8336836,-1.1527696,-1.391655,-0.9964794
24,0.0016969442,-0.038895488,0.54045665,0.5996345,1.0374179,1.1058853,0.8029171,-0.7987379,0.32814133
25,-0.0020793676,-0.038895488,0.540385,-0.23620868,-0.8603617,-0.8527006,-0.10096443,-0.7499664,-1.0059919
26,-0.0035007,-0.038895488,0.54035664,-0.055317402,-0.84817064,-0.8523294,-1.1811554,-1.4178121,-1.0031629
27,-0.001623869,-0.038895488,0.5404031,-0.40111017,-0.13646662,0.15805233,-0.12302923,-0.17940664,-1.0080421
28,-0.0007991791,-0.038895488,0.54040956,0.11262798,0.5244856,0.15778017,-0.1141299,0.05346811,-1.007097
29,-0.0010296106,-0.038895488,0.54037654,-0.0576638,-0.8611995,-0.8387183,-0.11070752,0.05647552,-1.0049436
30,-0.00043463707,-0.038895488,0.54036844,-0.053471804,-0.8578749,-0.8389863,-0.09377301,0.0550462,-0.9949459
31,-0.00040996075,-0.038895488,0.5404172,0.11404812,0.52926826,0.15362465,-0.11602509,0.06426954,-1.0094566
32,6.818771e-05,-0.038895488,0.5404285,0.10543072,0.5160725,0.15691674,-0.12644112,0.047126174,-1.0053718
33,0.0021669865,-0.038895488,0.54057086,0.6486472,0.28088927,0.122084975,-0.19487274,0.5162957,0.35681653
34,-0.0014356375,-0.038895488,0.5404279,0.033663988,0.4272411,0.1620444,-0.12481272,0.017559052,-1.015939
35,-0.0014330149,-0.038895488,0.54035306,-0.37465823,-0.1103977,0.1578263,-0.112056375,-0.17129183,-0.98873687
36,0.002465248,-0.038895488,0.5404602,0.57347715,-0.11957312,0.14620316,0.5053785,0.7598455,0.304842
